id,degree_id,program_type_code
20001,20001,fdn
20002,20002,fdn
20003,20003,fdn
20004,20004,fdn
20005,20005,fdn
20006,20006,fdn
20007,20007,fdn
20008,20008,fdn
20009,20009,fdn
20010,20010,fdn
20011,20011,fdn
20012,20012,fdn
20013,20013,fdn
20014,20014,fdn
20015,20015,fdn
20016,20016,fdn
20017,20017,fdn
20018,20018,fdn
20019,20019,fdn
20020,20020,fdn
20021,20021,fdn
20022,20022,fdn
20023,20023,fdn
20024,20024,fdn
20025,20025,fdn
20026,20026,fdn
20027,20027,fdn
20028,20028,fdn
20029,20029,fdn
20030,20030,fdn
20031,20031,fdn
20032,20032,fdn
20033,20033,fdn
20034,20034,fdn
20035,20035,fdn
20036,20036,fdn
20037,20037,fdn
20038,20038,fdn
20039,20039,fdn
20040,20040,fdn
20041,20041,fdn
20042,20042,fdn
20043,20043,fdn
20044,20044,fdn
20045,20045,fdn
20046,20046,fdn
20047,20047,fdn
20048,20048,fdn
20049,20049,fdn
20050,20050,fdn
20051,20051,dip
20052,20051,fdn
20053,20052,dip
20054,20052,fdn
20055,20053,dip
20056,20053,fdn
20057,20054,dip
20058,20054,fdn
20059,20055,dip
20060,20055,fdn
20061,20056,dip
20062,20056,fdn
20063,20057,dip
20064,20057,fdn
20065,20058,dip
20066,20058,fdn
20067,20059,dip
20068,20059,fdn
20069,20060,dip
20070,20060,fdn
20071,20061,dip
20072,20061,fdn
20073,20062,fdn
20074,20063,fdn
20075,20064,fdn
20076,20065,dip
20077,20065,fdn
20078,20066,dip
20079,20066,fdn
20080,20067,dip
20081,20067,fdn
20082,20068,dip
20083,20068,fdn
20084,20069,dip
20085,20069,fdn
20086,20070,dip
20087,20070,fdn
20088,20071,dip
20089,20071,fdn
20090,20072,dip
20091,20072,fdn
20092,20073,dip
20093,20073,fdn
20094,20074,fdn
20095,20075,fdn
20096,20076,fdn
20097,20077,fdn
20098,20078,fdn
20099,20079,fdn
20100,20080,fdn
20101,20081,fdn
20102,20082,fdn
20103,20171,fdn
20104,20172,fdn
20105,20173,fdn
20106,20174,fdn
20107,20175,fdn
20108,20176,fdn
20109,20177,fdn
20110,20178,fdn
20111,20179,dip
20112,20179,fdn
20113,20180,fdn
20114,20181,dip
20115,20181,fdn
20116,20182,dip
20117,20182,fdn
20118,20183,fdn
20119,20184,fdn
20120,20185,fdn
20121,20186,fdn
20122,20187,fdn
20123,20188,fdn
20124,20189,fdn
20125,20190,fdn
20126,20191,fdn
20127,20192,fdn
20128,20193,fdn
20129,20194,fdn
20130,20195,fdn
20131,20196,fdn
20132,20197,fdn
20133,20198,fdn
20134,20199,fdn
20135,20200,fdn
20136,20201,fdn
20137,20202,fdn
20138,20203,fdn
20139,20204,fdn
20140,20205,fdn
20141,20206,fdn
20142,20207,fdn
20143,20208,fdn
20144,20209,fdn
20145,20210,fdn
20146,20211,fdn
20147,20212,fdn
20148,20213,fdn
20149,20214,fdn
20150,20215,fdn
20151,20216,fdn
20152,20217,fdn
20153,20218,fdn
20154,20219,fdn
20155,20220,fdn
20156,20221,fdn
20157,20222,fdn
20158,20223,fdn
20159,20224,fdn
20160,20225,fdn
20161,20226,fdn
20162,20227,fdn
20163,20228,fdn
20164,20229,fdn
20165,20230,fdn
20166,20231,fdn
20167,20232,fdn
20168,20233,fdn
20169,20234,fdn
20170,20235,fdn
20171,20236,fdn
20172,20237,fdn
20173,20238,fdn
20174,20239,fdn
20175,20240,fdn
20176,20241,fdn
20177,20242,fdn
20178,20243,fdn
20179,20244,fdn
20180,20245,fdn
20181,20246,fdn
20182,20247,fdn
20183,20248,fdn
20184,20249,fdn
20185,20250,fdn
20186,20251,fdn
20187,20252,fdn
