id,university_major_navi_id,study_subarea_id
1,1,92
2,785,56
3,1013,56
4,1082,56
5,2304,56
6,3909,56
7,786,56
8,786,55
9,2,56
10,448,56
11,820,56
12,923,56
13,1173,56
14,1279,56
15,1337,56
16,2401,56
17,2581,56
18,2842,56
19,2903,56
20,2948,56
21,3092,56
22,3325,56
23,3436,56
24,3591,56
25,3910,56
26,3934,56
27,4012,56
28,663,56
29,663,51
30,106,56
31,156,56
32,289,56
33,566,56
34,664,56
35,1453,56
36,1593,56
37,1841,56
38,3326,56
39,3437,56
40,3486,56
41,3702,56
42,4028,56
43,4063,56
44,106,55
45,156,55
46,289,55
47,566,55
48,664,55
49,1453,55
50,1593,55
51,1841,55
52,3326,55
53,3437,55
54,3486,55
55,3702,55
56,4028,55
57,4063,55
58,567,56
59,1594,56
60,3438,56
61,3703,56
62,567,52
63,1594,52
64,3438,52
65,3703,52
66,107,27
67,2212,27
68,2305,27
69,2518,27
70,3935,27
71,449,27
72,449,25
73,365,27
74,568,27
75,157,32
76,450,32
77,569,32
78,2649,32
79,1246,87
80,3936,87
81,4013,87
82,158,87
83,1174,101
84,108,20
85,366,20
86,451,20
87,1175,20
88,1454,20
89,1595,20
90,1843,20
91,2058,20
92,2306,20
93,3020,20
94,3166,20
95,3487,20
96,3938,20
97,452,20
98,1176,83
99,1280,83
100,821,83
101,924,83
102,2770,83
103,3,38
104,2583,38
105,3,51
106,2583,51
107,4,38
108,4,51
109,290,38
110,290,51
111,1083,38
112,1083,33
113,1083,51
114,5,38
115,3559,38
116,6,38
117,6,40
118,1084,38
119,1338,38
120,7,38
121,7,40
122,291,38
123,1014,38
124,1339,38
125,2062,38
126,2584,38
127,292,38
128,292,51
129,159,10
130,159,8
131,570,77
132,453,83
133,571,83
134,1177,83
135,2309,83
136,2403,83
137,2772,83
138,8,3
139,1845,3
140,8,30
141,1845,30
142,454,77
143,665,77
144,1456,77
145,1596,77
146,1846,77
147,2067,77
148,2406,77
149,3327,77
150,3439,77
151,293,77
152,455,77
153,666,77
154,1457,77
155,1847,77
156,2068,77
157,3440,77
158,456,77
159,2069,77
160,667,43
161,1340,43
162,160,43
163,787,43
164,294,43
165,1341,43
166,2070,43
167,3562,43
168,1085,43
169,161,96
170,2651,96
171,9,79
172,367,79
173,668,79
174,822,79
175,861,79
176,925,79
177,1015,79
178,1086,79
179,1178,79
180,1281,79
181,1342,79
182,1597,79
183,2310,79
184,2409,79
185,2519,79
186,2586,79
187,2773,79
188,2950,79
189,3023,79
190,3093,79
191,3441,79
192,3593,79
193,368,79
194,368,77
195,369,79
196,369,64
197,370,79
198,370,76
199,371,79
200,371,61
201,1087,90
202,862,7
203,162,7
204,10,82
205,788,25
206,1343,25
207,2520,25
208,2587,25
209,2775,25
210,2904,25
211,3094,25
212,3864,25
213,4040,25
214,372,25
215,372,1
216,926,1
217,2521,1
218,3594,1
219,4041,1
220,669,80
221,2951,80
222,457,74
223,670,74
