delete_flg,id,name,japanese_name
0,20001,Physics,物理学
0,20002,Chemistry,化学
0,20003,Biology and Biochemistry,生物学・生化学
0,20004,Geology,地学
0,20005,Astronomy,宇宙学
0,20006,Other Sciences,その他理学・サイエンス系
0,20007,Computer Science,コンピュータサイエンス
0,20008,Data Science,データサイエンス
0,20009,Cybersecurity,サイバーセキュリティ
0,20010,AI and Machine Learning,AI・機械学習・ディープラーニング
0,20011,Software and Systems Engineering,ソフトウェア・システムエンジニアリング
0,20012,Other Computing,その他 テクノロジー系
0,20013,Mechanical Engineering,機械工学
0,20014,Electrical and Electronics Engineering,電気・電子工学
0,20015,Nuclear Engineering,原子力工学
0,20016,Civil Engineering,土木工学
0,20017,Biological Engineering,生物工学
0,20018,Resource Engineering,資源工学
0,20019,Materials Engineering,材料工学
0,20020,Aeronautical and Aerospace Engineering,航空・宇宙工学
0,20021,Industrial Engineering,経営工学・管理工学
0,20022,Naval and Ocean Engineering,船舶・海洋工学・商船学
0,20023,Biomedical Engineering,医用・生体工学
0,20024,Other Engineering,その他 工学・エンジニアリング系
0,20025,Mathematics,数学
0,20026,Statistics,統計学
0,20027,Actuarial Science,保険数理学
0,20028,Operations Research,オペレーションズ・リサーチ
0,20029,Other Mathematics,その他 数学
0,20030,Medical and Health Sciences,医療・保健学
0,20031,Pharmacy,薬学
0,20032,Nursing,看護学
0,20033,Nutrition and Food Science,栄養学・食物学
0,20034,Kinesiology and Exercise Science,運動生理学・スポーツ科学
0,20035,Public Health,公衆衛生・健康科学
0,20036,Neuroscience,神経科学
0,20037,Other Medical and Life Sciences,その他 医療・薬学・看護・生命科学
0,20038,Agricultural Science,農学
0,20039,Horticulture,農芸化学
0,20040,Agricultural Engineering,農業工学
0,20041,Forestry,森林科学
0,20042,Veterinary Medicine,獣医学
0,20043,Animal Science,畜産学・動物学
0,20044,Fisheries Science,水産学
0,20045,Biological Production Science,生物生産・生物資源学
0,20046,Other Agricultural Sciences,その他 農・獣医畜産・水産学
0,20047,Economics,経済学
0,20048,Econometrics,数量・計量経済学
0,20049,Financial Economics,金融経済学
0,20050,Business Economics,ビジネス経済学
0,20051,Business Administration,経営学（ビジネス）
0,20052,Management,経営学（マネジメント）
0,20053,Business Information Technology,経営情報学
0,20054,Marketing,マーケティング
0,20055,Finance,ファイナンス
0,20056,Accounting,会計学
0,20057,"Other Economics, Business and Accounting",その他 経済・経営・会計学系
0,20058,Law,法学
0,20059,Forensic Science,法医学
0,20060,Criminology and Criminal Justice,犯罪学・刑事司法
0,20061,Politics,政治学
0,20062,Public Policy,公共政策・都市計画
0,20063,"Other Law, Politics and Policy",その他 法・政治・政策系
0,20064,International Relations,国際関係学
0,20065,Development Studies,開発学
0,20066,Peace Studies,平和学
0,20067,Other International Relations and Development Studies,その他 国際関係・開発学系
0,20068,Architecture,建築学
0,20069,Urban Planning,都市学
0,20070,Environmental Studies,環境学
0,20071,Earth Science,地球科学
0,20072,Other Architecture and Environmental Studies,その他 建築・環境学系
0,20073,Literature,文学
0,20074,Linguistics and Foreign Languages,言語学・外国語学
0,20075,Education,教育学
0,20076,Philosophy,哲学
0,20077,History and Archaeology,史学・考古学
0,20078,Theology,宗教学
0,20079,Anthropology and Cultural Studies,文化学・人類学
0,20080,Psychology,心理学
0,20081,Liberal Arts,リベラルアーツ
0,20082,Geography,地理学
0,20083,Other Humanities,その他 人文学系
0,20084,Sociology,社会学
0,20085,Social Work,ソーシャルワーク・社会福祉学
0,20086,Journalism,ジャーナリズム
0,20087,Communications and Media Studies,メディア学・コミュニケーション学
0,20088,Film and Television Production,映画・テレビ制作
0,20089,Tourism and Recreation,観光学・レクリエーション
0,20090,Fashion and Apparel,ファッション・被服学
0,20091,Gender and Women's Studies,ジェンダー・女性学
0,20092,Other Social Sciences,その他 社会学・メディア学系
0,20093,Fine Arts,美術
0,20094,Music,音楽
0,20095,Design,デザイン
0,20096,Illustration and Animation,イラスト・アニメーション
0,20097,Graphic Design and Photography,グラフィックデザイン・CG・写真
0,20098,Dance,ダンス
0,20099,Crafts,工芸
0,20100,Other Fine Arts,その他 芸術学系
0,20101,Aviation,航空学
0,20102,Chemical Engineering,化学工学
0,20103,Environmental Engineering,環境工学
0,20104,Acting and Drama,演技・演劇
0,20105,English Language and Literature,英語・英文学
0,20106,"Meteorology, Climate and Atmospheric Sciences",気象学・気候学・大気科学
0,20107,Audio and Radio Production,音声・ラジオ制作
0,20108,Robotics,ロボティクス
0,20109,Bioinformatics,バイオインフォマティクス
0,20110,Business Analytics,ビジネスアナリティクス
0,20111,Human Resource Management,人材管理
0,20112,Entrepreneurship,起業学
0,20113,Information Systems,情報システム
0,20114,Construction Engineering,建設工学
0,20115,Hospitality and Events Management,ホスピタリティ・イベント管理
0,20116,Family and Consumer Sciences,家政学
0,20117,Marine Science,海洋科学
0,20118,International Business,国際ビジネス
0,20119,Interior Design,インテリアデザイン
0,20120,Manufacturing Engineering,製造工学
0,20121,Mining Engineering,鉱山工学
0,20122,Petroleum Engineering,石油工学
0,20123,Sports Business,スポーツビジネス
0,20124,Supply Chain and Logistics Management,サプライチェーン・ロジスティクス管理
0,20125,Energy Science and Technology,エネルギー科学技
