major_id,study_subarea_id
1,92
2,56
3,55
3,56
4,56
5,51
5,56
6,55
6,56
7,52
7,56
8,27
9,25
9,27
10,27
11,27
12,32
13,87
14,87
15,101
16,20
17,20
18,83
19,83
20,38
20,51
21,38
21,51
22,38
22,51
23,33
23,38
23,51
24,38
25,38
25,40
26,38
27,38
27,40
28,38
29,38
29,51
30,8
30,10
31,77
32,83
33,3
33,30
34,77
35,77
36,77
37,43
38,43
39,43
40,43
41,43
42,96
43,79
44,77
44,79
45,64
45,79
46,76
46,79
47,61
47,79
48,90
49,7
50,7
51,82
52,25
53,1
53,25
54,1
55,80
56,74
57,74
57,83
58,61
58,74
59,74
59,83
60,77
61,77
62,77
62,79
63,77
64,77
65,59
65,77
66,77
66,79
67,16
68,68
69,16
70,68
71,68
71,69
72,93
73,93
73,97
74,77
75,77
76,77
76,79
77,77
77,79
78,77
78,79
78,104
79,77
79,79
79,105
80,77
80,79
80,88
81,77
81,79
82,10
83,10
84,83
85,5
86,106
87,107
88,24
89,83
90,108
91,55
92,55
93,33
94,3
95,1
95,3
96,3
97,3
97,33
98,3
99,23
100,30
101,30
102,109
103,3
104,3
104,8
105,3
106,3
106,75
107,3
108,3
109,3
110,3
111,23
112,23
113,30
114,30
115,30
116,30
117,3
118,3
118,26
118,35
118,109
119,23
120,3
121,88
122,51
123,51
124,110
125,52
125,110
126,51
126,70
127,51
127,111
128,51
128,58
129,51
129,52
130,51
130,54
131,53
132,50
133,75
134,47
134,55
135,52
135,55
136,53
137,53
138,58
139,52
140,51
140,74
141,51
142,51
143,51
143,53
143,112
144,80
145,51
146,53
147,53
148,51
149,51
150,30
151,3
152,2
152,3
152,31
153,102
154,102
155,2
156,2
156,30
157,32
158,32
159,74
160,83
161,16
162,16
163,16
164,74
164,77
165,74
165,77
165,105
166,74
166,76
166,77
167,74
167,77
167,78
168,74
168,77
169,74
169,77
170,106
171,30
172,36
172,80
173,80
174,87
175,87
176,30
177,87
178,87
179,87
180,35
181,35
182,73
182,74
183,8
184,96
184,97
185,11
185,14
186,11
186,97
187,11
188,11
188,113
189,11
189,113
190,7
191,7
191,9
192,7
192,25
193,7
194,7
195,11
196,11
197,7
197,11
197,97
198,7
198,8
199,11
199,113
200,7
201,64
201,66
202,3
203,3
204,114
205,114
206,55
207,11
207,97
208,105
209,105
210,8
210,60
211,60
212,60
213,60
214,60
215,60
215,62
216,60
216,84
217,60
217,84
218,60
219,60
219,84
220,38
221,79
222,9
223,9
224,98
225,8
225,27
226,8
227,8
228,8
229,80
230,87
231,87
232,9
232,59
233,12
233,84
233,87
234,87
235,87
236,30
237,11
237,14
238,104
239,104
240,88
240,104
241,88
241,104
242,75
243,75
244,75
245,71
246,71
247,103
248,3
249,3
249,70
250,47
251,47
251,56
252,47
252,52
253,47
253,55
254,47
254,49
255,47
255,65
256,47
256,61
257,47
257,62
258,47
258,56
259,47
259,56
260,47
260,48
261,8
261,47
262,75
263,75
264,75
265,75
266,80
267,11
267,14
268,14
269,14
270,14
271,94
271,107
272,11
272,14
273,75
274,65
274,92
275,18
276,18
277,24
278,24
278,112
279,24
279,52
280,24
280,95
281,18
282,1
283,24
284,24
285,24
286,24
287,105
288,105
289,87
289,105
290,105
291,104
291,105
292,88
292,105
293,88
293,105
294,74
294,105
295,105
296,86
296,105
297,74
297,105
298,75
298,105
299,105
300,74
300,105
301,74
301,105
302,74
302,105
303,105
304,105
305,58
306,105
307,104
307,105
308,105
309,105
310,112
311,112
312,70
313,16
313,103
314,18
314,103
315,70
316,70
317,103
318,82
319,71
320,70
321,70
322,70
323,70
324,70
325,70
326,70
327,70
328,70
329,70
330,70
331,70
332,62
332,76
332,78
333,79
334,69
335,115
336,3
337,34
338,34
339,34
340,34
341,116
342,90
343,90
344,51
344,90
345,51
345,90
346,54
346,90
347,90
348,90
349,52
349,90
350,54
350,90
351,87
351,88
352,87
352,88
353,88
354,88
355,87
355,88
356,88
357,88
358,88
359,88
360,88
360,105
361,88
361,105
362,74
362,88
363,88
364,88
365,55
366,27
366,55
367,55
368,49
369,93
370,77
370,93
371,93
372,43
372,44
373,33
374,33
374,51
375,33
376,33
377,33
378,74
379,80
380,59
381,103
382,16
382,103
383,103
384,74
385,74
386,74
387,74
388,83
389,74
390,1
391,87
392,95
392,97
393,95
393,97
394,91
395,83
396,30
397,30
398,2
399,113
400,82
401,82
402,82
403,82
403,113
404,65
404,82
405,70
405,82
406,82
406,113
407,4
408,4
409,1
409,4
410,4
410,77
411,4
411,82
412,1
413,4
414,74
415,83
416,61
417,87
418,51
419,87
420,79
421,65
422,65
423,65
424,65
425,65
426,65
427,61
428,61
429,84
430,84
431,61
432,87
433,97
434,74
435,30
435,51
436,34
437,30
437,52
438,8
438,30
439,8
439,30
439,52
440,30
440,52
441,75
442,30
443,30
444,30
445,77
446,77
447,77
448,51
448,77
449,77
449,88
450,77
450,82
451,64
451,77
452,76
452,77
453,76
453,77
454,61
454,77
455,77
455,84
456,77
457,77
458,46
459,30
460,30
461,116
462,116
463,82
464,33
465,30
466,111
467,30
467,36
468,30
469,8
469,30
470,83
471,96
472,87
473,30
474,30
475,83
476,83
477,83
478,21
479,21
480,113
481,113
482,53
483,112
484,112
485,4
485,117
486,30
486,85
487,83
488,83
489,119
490,118
491,118
492,47
492,55
492,118
493,9
494,65
495,65
496,115
497,118
498,47
498,61
499,61
500,61
500,84
501,64
502,64
503,64
503,74
504,64
504,77
505,61
505,64
506,64
506,74
507,79
508,89
509,55
510,74
511,83
512,74
513,83
514,83
515,86
516,86
517,86
517,87
518,61
518,77
518,86
519,34
520,83
521,84
522,68
523,74
524,83
525,58
526,58
527,58
528,58
529,58
530,58
531,58
532,58
533,51
533,111
534,51
534,80
535,58
536,81
537,81
538,30
539,30
540,74
541,74
541,105
542,64
542,74
543,73
543,77
544,30
545,52
546,83
547,120
548,22
549,43
549,117
550,117
551,22
552,117
553,117
554,117
555,117
556,54
557,52
557,54
558,87
559,87
560,19
561,19
562,19
563,19
564,19
565,19
566,19
567,19
568,7
568,25
569,50
570,47
570,48
571,55
572,25
573,25
574,25
574,56
575,7
575,25
576,8
576,25
577,25
577,47
578,25
578,55
579,25
579,76
580,1
580,25
581,25
581,26
582,25
582,26
582,28
583,25
584,25
585,25
586,25
587,25
588,25
589,25
590,13
591,13
592,13
593,13
593,108
