program_id,country_gpa_scale_id,gpa,tid_course_requirements,tid_other_requirements
1,1,3,2,
2,1,3,2,
3,1,3,2,39
4,1,3,2,38
5,1,3.5,,
6,1,3.5,,
7,1,3.5,,
8,1,3.5,,
9,1,3.5,,
10,1,3.5,,
11,1,3.5,,
12,1,3.5,,
13,1,4,,49
14,1,3.3,,
15,1,3.3,,
16,1,3.3,,
17,1,3.3,,
18,1,3.3,,
19,1,4,,49
20,1,3.5,,
21,1,3.5,,
22,1,3.5,,
23,1,3.5,,
24,1,3.5,,
25,1,3.5,,
26,1,3.5,,
27,1,3.5,,
28,1,4,,49
29,1,3.25,,
30,1,3.25,,
31,1,3.25,,48
32,1,3.25,,
33,1,3.25,,
34,1,3.25,,
35,1,4,,49
36,1,3,2,
37,1,3,2,
38,1,3,3,
39,1,3,2,
40,1,3,2,
41,1,2,2,47
42,1,2,2,
43,1,2,2,
44,1,3,2,44
45,1,3,2,35
46,1,3,2,40
47,1,3,2,40
48,1,3,2,
49,1,3,7,45
50,1,3,7,
51,1,3,9,
52,1,3.5,,
53,1,3.5,,
54,1,3.5,,
55,1,3.5,,
56,1,3.5,,
57,1,3.5,,
58,1,3.5,,
59,1,3.5,,
60,1,3.5,,
61,1,3.5,,
62,1,3.5,,
63,1,3.5,,
64,1,3.5,,
65,1,3.5,,
66,1,3.5,,
67,1,4,,49
68,1,3,2,
69,1,3,2,
70,1,3,2,
71,1,3,7,
72,1,3,7,
73,1,3,7,
74,1,3.5,,
75,1,3.5,,
76,1,3.5,,
77,1,3.5,,
78,1,3.5,,
79,1,3.5,,
80,1,3.5,,
81,1,3.5,,
82,1,3.5,,
83,1,3.5,,
84,1,4,,49
85,1,3.2,,49
86,1,3.7,,49
87,1,3,,
88,1,3,,
89,1,3,,
90,1,3,,
91,1,3,,
92,1,3,,
93,1,3,,
94,1,3.75,,49
95,1,3.5,12,
96,1,3.5,14,
97,1,3.5,12,
98,1,3.5,12,
99,1,3.5,12,
100,1,3.5,14,
101,1,3.5,12,
102,1,3.5,12,
103,1,3,,
104,1,3,7,
105,1,3,7,
106,1,3,7,
107,1,2,2,
108,1,2,2,36
109,1,2,50,41
110,1,2,51,43
111,1,3,8,
112,1,3,7,
113,1,3.5,7,
114,1,3,7,
115,1,3,7,
116,1,3,2,
117,1,3,,
118,1,3,52,
119,1,3,6,
120,1,3,,
121,1,3,12,
122,1,3,53,
123,1,2,2,
124,1,2,2,
125,1,2,54,
126,1,3,7,
127,1,4,,34
128,1,3,,
129,1,3,,32
130,1,3,,
131,1,3,,
132,1,3,,
133,1,3,,31
134,1,3,,
135,1,3,,
136,1,3,,33
137,1,3,,
138,1,3,,
139,1,3,,
140,1,3,,
141,1,3,,
142,1,3,,
143,1,3,,
144,1,3.5,,
145,1,3.5,,
146,1,4,,
