id,start_date,end_date,min,max,duration,duration_unit,type,has_capacity,is_capacity,is_active,tid_name,tid_requirements,tid_description
1,2024-10-01,2025-03-31,,7500,3,term,special,FALSE,FALSE,TRUE,1,,
2,2024-10-01,2025-03-31,,5500,3,term,special,FALSE,FALSE,TRUE,1,,
3,2024-10-01,2025-03-31,,18000,1,year,special,FALSE,FALSE,TRUE,1,,8
4,2024-10-01,2025-03-31,,15000,4,year,base,FALSE,FALSE,TRUE,1,,
5,2024-10-01,2025-03-31,,8000,1,year,special,FALSE,FALSE,TRUE,1,,9
6,2024-10-01,2025-03-31,,20000,4,year,base,FALSE,FALSE,TRUE,1,,
7,2024-10-01,2025-03-31,,13000,1,year,special,FALSE,FALSE,TRUE,1,,10
8,2024-10-01,2025-03-31,,10000,4,year,base,FALSE,FALSE,TRUE,1,,
9,2024-10-01,2025-03-31,,6000,3,term,special,FALSE,FALSE,TRUE,1,,
10,2024-10-01,2025-03-31,,5500,3,term,special,FALSE,FALSE,TRUE,1,,
11,2024-10-01,2025-03-31,,5500,3,term,special,FALSE,FALSE,TRUE,1,,
12,2024-10-01,2025-03-31,,19000,1,year,special,FALSE,FALSE,TRUE,1,,11
13,2024-10-01,2025-03-31,,5500,3,term,special,FALSE,FALSE,TRUE,1,,
14,2024-10-01,2025-03-31,,5500,3,term,special,FALSE,FALSE,TRUE,1,,
15,2024-10-01,2025-03-31,,23000,1,year,special,FALSE,FALSE,TRUE,1,,12
16,2024-10-01,2025-03-31,,22000,4,year,base,FALSE,FALSE,TRUE,1,,
17,2024-10-01,2025-03-31,,13000,1,year,special,FALSE,FALSE,TRUE,1,,13
18,2024-10-01,2025-03-31,,22000,4,year,base,FALSE,FALSE,TRUE,1,,
19,2024-10-01,2025-03-31,,9000,1,year,special,FALSE,FALSE,TRUE,1,,14
20,2024-10-01,2025-03-31,,7500,4,year,base,FALSE,FALSE,TRUE,1,,
21,2024-10-01,2025-03-31,,4000,3,term,special,FALSE,FALSE,TRUE,1,,
22,2024-10-01,2025-03-31,,5000,1,year,base,FALSE,FALSE,TRUE,1,,
23,2024-10-01,2025-03-31,,5000,1,year,base,FALSE,FALSE,TRUE,1,,
24,2024-10-01,2025-03-31,,6000,1,year,base,FALSE,FALSE,TRUE,1,,
