id,language_iso639_code,translation
1,en,"This degree offers an in-depth exploration of computer science, emphasizing both theoretical foundations and advanced practical skills. It’s designed for students aiming for research roles or postgraduate studies, with a curriculum covering complex algorithms, machine learning, and large-scale software development projects."
1,ja,本学位は、計算機科学の理論的基礎と高度な実践スキルの両方を深く学ぶことができます。複雑なアルゴリズム、機械学習、大規模ソフトウェア開発プロジェクトを含むカリキュラムを通じて、研究職や大学院進学を志す学生に適しています。
1,vi,"Chương trình khám phá sâu rộng về khoa học máy tính, nhấn mạnh cả nền tảng lý thuyết và kỹ năng thực hành nâng cao. Khóa học dành cho sinh viên mong muốn theo đuổi nghiên cứu hoặc học lên cao học, với chương trình giảng dạy bao gồm thuật toán phức tạp, học máy và phát triển phần mềm quy mô lớn."
2,en,"Combining agricultural knowledge with business management, this degree prepares students for leadership roles in the agribusiness sector. The program focuses on agricultural economics, supply-chain management, and agribusiness marketing, often incorporating real-world case studies and industry placements."
2,ja,農業に関する知識と経営管理スキルを融合した学位です。農業経済学、サプライチェーン管理、アグリビジネスマーケティングを中心に学び、実践的な事例研究や企業での実習を通じて、アグリビジネス分野でのリーダーシップを発揮できる人材を育成します。
2,vi,"Kết hợp kiến thức nông nghiệp với quản trị kinh doanh, chương trình trang bị cho sinh viên kỹ năng lãnh đạo trong ngành kinh doanh nông sản. Chương trình tập trung vào kinh tế nông nghiệp, quản lý chuỗi cung ứng và marketing nông nghiệp, thường có các nghiên cứu tình huống thực tế và thực tập tại doanh nghiệp."
3,en,"Focusing on the scientific aspects of agriculture, this degree covers plant and animal biology, soil science, and sustainable farming practices. It’s suited for students interested in research, environmental management, or advancing to specialized postgraduate study."
3,ja,農業の科学的側面に焦点を当て、植物・動物の生物学、土壌科学、持続可能な農法などを学ぶ学位です。研究、環境管理、または専門的な大学院研究への進学を希望する学生に最適なプログラムとなっています。
3,vi,"Tập trung vào khía cạnh khoa học của nông nghiệp, bao gồm sinh học thực vật và động vật, khoa học đất và thực hành canh tác bền vững. Chương trình phù hợp với sinh viên quan tâm đến nghiên cứu, quản lý môi trường hoặc tiếp tục học lên sau đại học chuyên sâu."
4,en,"A versatile humanities-focused degree that enhances critical thinking, communication, and analytical skills across the arts, social sciences, and languages. Students can tailor their studies through various majors, preparing for careers in education, public service, media, or further academic pursuits."
