id,language_iso639_code,translation
1,en,- 2.0 average in Mathematics
1,ja,- 高校の数学のGPA2.0以上が必要
2,en,- Mathematics I 2.0
2,ja,- 数学ⅠのGPA2.0以上が必要
3,en,- Mathematics I 2.0 and 2.0 average in Biology or Chemistry
3,ja,"- 数学ⅠのGPA2.0以上が必要
 - 高校の生物もしくは化学（基礎含む）のGPA2.0以上が必要"
4,en,- 3.0 average in Biology
4,ja,- 高校の生物（基礎含む）のGPA3.0以上が必要
5,en,- 3.0 average in Biology or Chemistry or Physics
5,ja,- 高校の生物または化学または物理（基礎含む）のGPA3.0以上が必要
6,en,- 3.0 average in Mathematics
6,ja,- 高校の数学のGPA3.0以上が必要
7,en,- Mathematics I 3.0 or Mathematics II 2.0
7,ja,- 「数学ⅠGPA3.0以上」または「数学ⅡGPA2.0以上」が必要
8,en,- Mathematics I 2.0 or Mathematics II 2.0 and 2.0 average in Biology in year 2 or year 3
8,ja,"- 「数学ⅠGPA3.0以上」または「数学ⅡGPA2.0以上」が必要
 - 高校2年～3年次の生物（基礎含む）のGPA2.0以上が必要"
9,en,- Mathematics I 3.0 or Mathematics II 2.0 and 2.0 average in Chemistry or Physics in year 2 or year 3
9,ja,"- 「数学ⅠGPA3.0以上」または「数学ⅡGPA2.0以上」が必要
 - 高校2年～3年次の「化学（基礎含む）GPA2.0以上」もしくは「物理（基礎含む）GPA2.0以上」が必要"
10,en,- Mathematics I 3.0 and Mathematics A 3.0 or Mathematics II 2.0 and Mathematics B 2.0 or Mathematics III 2.0 and Mathematics C 2.0
10,ja,- 「数学Ⅰと数学A GPA3.0以上」または「数学Ⅱと数学B GPA2.0以上]または「数学Ⅲと数学C GPA2.0以上」が必要
11,en,- Mathematics II 3.0 or Mathematics III 3.0
11,ja,- 数学Ⅱまたは数学ⅢのGPA3.0以上が必要
12,en,- 4.0 average in Mathematics
12,ja,- 高校の数学のGPA4.0以上が必要
13,en,- Mathematics A 4.0 or Mathematics II 3.0
13,ja,- 「数学A GPA4.0以上」または「数学Ⅱ GPA3.0以上」が必要
14,en,"- 4.0 average in Mathematics, Biology, and Chemistry"
14,ja,- 高校の数学、生物（生物基礎）、化学（化学基礎）それぞれGPA4.0以上必要
15,en,- 4.0 average in Mathematics and Chemistry
15,ja,- 高校の数学および化学（化学基礎）のGPA4.0以上が必要
16,en,- Mathematics II 5.0 or Mathematics III 4.0
16,ja,- 「数学ⅡGPA5.0以上」または「数学ⅢGPA4.0以上」が必要
17,en,- 3.0 in 2 academic subjects in year 3
17,ja,- 高校3年次の数学・理科・国語・地理歴史・公民・外国語のいずれか2科目の評定が3.0以上必要
18,en,"- 3.0 in 5 academic subjects in year 3, including Mathematics"
18,ja,"- 高校3年次の数学のGPA3.0以上が必要
 - 高校3年次の理科・国語・地理歴史・公民・外国語のいずれか4科目の評定が3.0以上必要"
19,en,"- 3.0 in Mathematics, Chemistry and Physics in year 3"
19,ja,"- 高校3年次の数学のGPA3.0以上が必要
 - 高校3年次の化学と物理（いずれも基礎含む）のGPA3.0以上が必要"
20,en,- 3.0 in 4 academic subjects in year 3
20,ja,- 高校3年次の数学・理科・国語・地理歴史・公民・外国語のいずれか4科目のGPAが3.0以上必要
21,en,"- 3.0 in 4 academic subjects in year 3, including Mathematics and a Science"
21,ja,"- 高校3年次の数学のGPA3.0以上が必要
 - 高校3年次の理科の1科目を含む理科・国語・地理歴史・公民・外国語のいずれか3科目のGPAが3.0以上必要"
22,en,"- 3.0 in 3 academic subjects in year 3, including a Science, and 4.0 in Mathematics in year 3"
22,ja,"- 高校3年次の数学のGPA4.0以上が必要
 - 高校3年次の理科の1科目を含む理科・国語・地理歴史・公民・外国語のいずれか3科目のGPAが3.0以上必要"
23,en,"- 3.0 in 3 academic subjects in year 3, including 2 of Biology, Chemistry and Physics, and 4.0 in Mathematics in year 3"
23,ja,"- 高校3年次の数学のGPA4.0が以上
 - 高校3年次の生物（生物基礎）、化学（化学基礎）、物理（物理基礎）のうち2科目を含む理科・国語・地理歴史・公民・外国語のいずれかの3科目のGPAが3.0以上必要"
24,en,- 4.0 in Mathematics in year 3
24,ja,- 高校3年次の数学のGPA4.0以上が必要
25,en,- 4.0 in 5 academic subjects in year 3
25,ja,- 高校3年次の数学・理科・国語・地理歴史・公民・外国語のいずれか5科目のGPAが3.5以上必要
26,en,- Mathematics taken in year 3
26,ja,- 高校3年次に数学を履修していること
27,en,A portfolio of 10 pieces of work is required for admissions.
27,ja,10点の作品からなるポートフォリオの提出が必要
28,en,A portfolio of 5-8 pieces of work is required for admissions.
28,ja,5〜8点の作品からなるポートフォリオの提出が必要
29,en,"Applicants intending to progress to Accounting and Finance, Business Analytics or Economics will require Mathematics II 5.0 or Mathematics III 4.0. Applicants intending to progress to Management or Psychology in Education will require Mathematics II 4.0 or Mathematics III 3.0."
29,ja,Accounting and Finance、Analytics、またはEconomics への進学を希望する出願者は、数学IIのGPAが5.0、または数学IIIのGPAが4.0以上が必要。Management または Psychology in Education の場合は、数学IIのGPAが4.0以上、または数学IIIの3.0以上が必要
30,en,Applicants intending to progress to Advanced Technology and Chemical Science and Engineering will require Physics 4.0 and Chemistry 4.0 in Year 3. Applicants will need to provide a personal statement and CV.
30,ja,Advanced Technology および Chemical Science and Engineering への進学を希望する出願者は、高校3年次の物理（物理基礎）4.0以上、及び化学（化学基礎）4.0以上が必要。また personal statement（志望動機書）とCurriculum Vitae（履歴書）の提出が必要
31,en,"Applicants intending to progress to Bachelor of Dental Surgery, Bachelor of Medical Studies/Doctor of Medicine, Bachelor of Nursing, Bachelor of Occupational Therapy (Honours), Bachelor of Oral Health, Bachelor of Speech Therapy (Honours), or Bachelor of Physiotherapy (Honours) have additional requirements."
31,ja,Bachelor of Dental Surgery、Bachelor of Medical Studies/Doctor of Medicine、Bachelor of Nursing、Bachelor of Occupational Therapy (Honours)、Bachelor of Oral Health、Bachelor of Speech Therapy (Honours)、Bachelor of Physiotherapy (Honours) への進学を希望する場合は、追加条件あり
32,en,Applicants intending to progress to Bachelor of Languages have additional requirements.
32,ja,Bachelor of Languages 学部課程に進学を希望する場合は、追加条件あり
33,en,Applicants intending to progress to Bachelor of Science - Veterinary Medicine have additional requirements.
33,ja,Bachelor of Science - Veterinary Medicine への進学を希望する場合は、追加条件あり
34,en,Applicants intending to progress to Bachelor of Science majors in W.P. Carey School of Business must submit GPA 4.4. Applicants intending to progress to Nursing must submit GPA 4.8 and IELTS 6.5. Applicants intending to progress to or Fulton School of Engineering on Tempe Campus must submit IELTS 6.5. Applicants intending to progress to Journalism must submit IELTS 7.0.
34,ja,Bachelor of Science majors in W.P. Carey School of Business に進学を希望する出願者は、GPA 4.4以上が必要。Nursing に進学する場合は、GPA 4.8およびIELTS6.5の提出が必要。Fulton School of Engineering on Tempe Campus への進学希望者はIELTS6.5、Journalism への進学希望者場合はIELTS7.0の提出が必要。一部専攻には追加要件がある場合あり。
35,en,"Applicants intending to progress to Biochemistry, Biomedical Genetics, Biomedical Sciences, Medical Science (deferred choice), Pharmacology, Pharmacy, Physiological Sciences, Psychology and Biology, Psychology and Sport and Exercise Science, Psychology, or Sport and Exercise Science, must submit IELTS 5.5 (with minimum 5.0 in all subskills) for the standard, 3-term foundation."
35,ja,Biochemistry、Biomedical Genetics、Biomedical Sciences、Medical Science (deferred choice)、薬Pharmacology、Pharmacy、Physiological Sciences、Psychology and Biology、Psychology and Sport and Exercise Science、Psychology、Sport and Exercise Science を志望する出願者は、標準的な3学期の基礎コースにおいて、IELTS 5.5以上（各サブスキル5.0以上）の提出が必要
36,en,Applicants intending to progress to Broadcast and Multimedia Journalism must submit IELTS 6.5 (with minimum 6.5 in all subskills).
36,ja,Broadcast and Multimedia Journalism への進学を希望する出願者は、IELTS6.5以上（各サブスキル6.5以上）の提出が必要
37,en,"Applicants intending to progress to Healthcare-related degrees must submit IELTS 6.0 (minimum 6.0 listening, 6.0 writing and 5.0 all other skills)."
37,ja,Healthcare 関連の学位取得を目指す出願者は、IELTS6.0以上（リスニング6.0以上、ライティング6.0以上、その他のサブスキル5.0以上）の提出が必要
38,en,"Applicants intending to progress to Music without appropriate formal music qualifications must provide evidence of their musical skills and knowledge through submission of a portfolio of work samples. This must include some evidence of knowledge of Western music theory, for example through an academic essay on a music analysis topic and/or a notated composition. If applicants wish to pursue 1:1 instrumental or vocal tuition as part of their studies, a good Grade 7 performance qualification or equivalent is normally required. For those without qualifications, submit a recording (preferably video) of one or more performances."
38,ja,正式な音楽資格（formal music qualifications）を持たずに Music に進むことを希望する学生は、作品サンプルのポートフォリオを提出して、自身の音楽スキルと知識を証明する必要がある。これには、西洋音楽理論の知識を示す証拠も含まれていること。例えば、音楽分析に関する学術論文や楽譜付きの作曲など。学生が学業の一環として1対1の楽器または声楽のレッスンを希望する場合、通常は Grade 7 相当の演奏資格または同等の資格が必要。資格を持たない場合は、1つ以上の演奏の録音（できればビデオ）の提出が必要
39,en,"Applicants intending to progress to Music, Sound and Technology must provide evidence of some prior experience with music technology through submission of a portfolio of work samples. The portfolio should feature a minimum of two contrasting works that show experience with music technology. This could be, for example, compositions, recordings, sound design, mixes, remixes, multimedia work or software."
39,ja,Music、Sound and Technology に進むことを希望する学生は、作品サンプルのポートフォリオを提出して、音楽技術の経験があることを証明する必要がある。ポートフォリオには、音楽技術の経験を示す対照的な作品を少なくとも2つ含めること。例えば、作曲、レコーディング、サウンドデザイン、ミックス、リミックス、マルチメディア作品、またはソフトウェアなどが含まれる
40,en,"Applicants intending to progress to Newcastle Law School must submit IELTS 6.0 (with minimum 5.5 in all subskills) for the standard, 3-term foundation."
40,ja,Newcastle Law Schoolへの進学を希望する出願者は、標準的な3学期のファウンデーション コースにおいて、IELTS 6.0（各サブスキルで5.5以上）の提出が必要
41,en,"Applicants intending to progress to Nursing, Physiotherapy or Occupational Therapy must submit IELTS 6.0 (with minimum 6.0 in all subskills). Applicants intending to progress to Pharmacy must submit IELTS 6.0 (with minimum 5.5 in all subskills). Applicants intending to progress to Speech and Language Therapy must submit IELTS 6.5 (with minimum 6.5 in all subskills)."
41,ja,Nursing、Physiotherapy、Occupational Therapy への進学を希望する出願者は、IELTS6.0（各サブスキル6.0以上）の提出が必要。また、Pharmacy に進学を希望する出願者はIELTS6.0（各サブスキルで5.5以上）、Speech and Language Therapy への進学を希望する出願者はIELTS6.5（各サブスキルで6.5以上）の提出が必要
42,en,"Applicants intending to progress to Optometry must submit IELTS 5.5 (minimum 5.0 in all subskills). Applicants intending to progress to Medicine, Dental Surgery, Pharmacy and Medical Pharmacology, Journalism and Communications, Journalism, Communications and Politics, Media and Communications, or Media, Journalism and Culture must submit IELTS 6.0 (minimum 6.0 writing and no skill below 5.5)."
42,ja,"Optometry への進学を希望する出願者はIELTS5.5（各サブスキル5.0以上）の提出が必要。Medicine、Dental Surgery、Pharmacy and Medical Pharmacology、Journalism・Communications、Journalism、Communications and Politics、Media and Communications、またはMedia, Journalism and Culture に進学を希望する出願者は、IELTS6.0以上（ライティング6.0以上、他サブスキル5.5以上）の提出が必要"
43,en,Applicants intending to progress to Pharmacy must submit IELTS 6.0 (with minimum 5.5 in all subskills).
43,ja,Pharmacy に進学を希望する出願者は、IELTS6.0（各サブスキル5.5以上）の提出が必要
44,en,Applicants must provide a portfolio as part of the application. The portfolio should demonstrate core skills and illustrate a genuine interest in architecture. The portfolio will be carefully assessed according to outlined criteria. Portfolios that do not comply with the guidelines will not be considered suitable for entry and applicants will be required to resubmit. Portfolios will be assessed at key times throughout the academic year.
44,ja,出願者は、出願書類の一部としてポートフォリオの提出が必要。ポートフォリオは、基本的なスキルを示し、建築に対する真の関心を表している必要がある。ポートフォリオは、明示された基準に基づいて慎重に評価される。ガイドラインに従っていないポートフォリオは適切なものとは見なされず、再提出を求めらる。ポートフォリオは、学年の重要な時期に評価される
45,en,Applicants must provide a portfolio as part of the application. This should document experiences and expertise gained in previous studies. It should demonstrate a range of core skills and a basic understanding of architecture.
45,ja,出願者は申請書の一部としてポートフォリオの提出が必要。ポートフォリオには、これまでの研究で得た経験や専門知識の記録や、様々なコア・スキルと建築の基本的な理解を証明する内容が含まれていること
46,en,Applicants will need to provide a personal statement and CV.
46,ja,Personal statement（志望動機書）とCurriculum Vitae（履歴書）の提出が必要
47,en,"Applicants will need to submit a small portfolio of six pieces of work plus a personal statement. Three of the pieces of work provided as part of the portfolio must be observational drawing. Other items that may be submitted include original photography, sketch books, original computer-generated imagery, photographs of three-dimensional work, evidence of sketching which shows the development of own artwork or design, and annotated work. Applicants must also submit a personal statement up to 250 words including area(s) of Art and Design that interest them, why they want to join the programme, key influences (i.e. other artists or designers that inspire them), indication of how much Art and Design training they've already completed, and which degree they would like to progress to. Portfolios should either be attached to the application or, if externally hosted, a web link should be provided to the hosting site."
47,ja,出願者は、6点の作品と自己紹介文からなる小ポートフォリオを提出する必要がある。ポートフォリオの一部として提出する作品のうち3点は、observational drawing であること。その他、オリジナルの写真、スケッチブック、コンピューターで作成したオリジナルの画像、立体作品の写真、自身のアートワークやデザインの発展を示すスケッチの証拠、注釈付きの作品などを提出することができる。出願者はまた、興味のあるアートとデザインの分野、プログラムに参加したい理由、影響を受けた主なアーティストやデザイナー、これまでに受けたアートとデザインのトレーニングの内容、どの学位に進みたいかを含む、250字以内の自己紹介文の提出が必要。ポートフォリオは願書に添付するか、外部ホスティングの場合はホスティングサイトへのウェブリンクを提供する必要がある
48,en,"Degrees that do not require a portfolio for entry include Theatre - Film & Digital Media, Theatre - Theatre Studies, Theatre Teacher Education, Art History, Creative Technologies - Audio and Music Production, Creative Technologies - Game Design, and Creative Technologies - Interdisciplinary Technologies. Applicants may not directly apply for admission to Music Composition, BFA Graphic Design, and BFA Studio Arts, but may submit a portfolio/audition during their study at Illinois State University based on program requirements."
48,ja,"ポートフォリオを必要としない学位には、Theatre - Film & Digital Media、Theatre - Theatre Studies、Theatre Teacher Education、Art History、Creative Technologies - Audio and Music Production、Creative Technologies - Game Design, and Creative Technologies - Interdisciplinary Technologies. Applicants may not directly apply for but may submit a portfolio/audition during their study at Illinois State University based on program requirem、および Creative Technologies - Interdisciplinary Technologies が含まれる。Music Composition、BFA Graphic Design、および BFA Studio Arts には直接出願できないがプログラムの要件に基づき、イリノイ州立大学での履修中にポートフォリオの提出やオーディションを提出することが可能"
49,en,Some programs may have additional requirements.
49,ja,一部専攻には追加要件がある場合あり
50,en,- Mathematics I 2.0 and 2.0 average in Biology and Chemistry
50,ja,"- 数学ⅠのGPA2.0以上が必要
 - 高校の生物および化学（基礎含む）のGPA2.0以上が必要"
51,en,- Mathematics I 2.0 and 2.0 average in Chemistry
51,ja,"- 数学ⅠのGPA2.0以上が必要
 - 高校の化学（基礎含む）のGPA2.0以上が必要"
52,en,- 3.0 average in Biology and Chemistry
52,ja,- 高校の生物および化学（基礎含む）のGPA3.0以上が必要
53,en,- 3.0 average in Mathematics and 3.0 average in Biology or Chemistry or Physics
53,ja,"- 高校の数学のGPA3.0以上が必要
 - 高校の生物または化学または物理（基礎含む）のGPA3.0以上が必要"
54,en,- Mathematics I 2.0 and 2.0 average in Biology or Chemistry or Physics
54,ja,"- 数学ⅠのGPA2.0以上が必要
 - 高校の生物または化学または物理（基礎含む）のGPA2.0以上が必要"
55,en,"- Mathematics II 5.0 or Mathematics III 4.0 and 4.0 average in Biology, Chemistry or Physics"
55,ja,"- 「数学ⅡGPA5.0以上」または「数学ⅢGPA4.0以上」が必要
 - 高校の生物または化学または物理（基礎含む）のGPA4.0以上が必要"
56,en,- Mathematics II 4.0 or Mathematics III 3.0
56,ja,- 「数学ⅡGPA4.0以上」または「数学ⅢGPA3.0以上」が必要
57,en,- 2.5 in 4 academic subjects in year 3
57,ja,- 高校3年次の数学・理科・国語・地理歴史・公民・外国語のいずれか4科目のGPAが2.5以上必要
58,en,- Mathematics I 2.0 and 2.0 average in Biology and Chemistry
58,ja,"- 数学ⅠのGPA2.0以上が必要
 - 高校の生物および化学（基礎含む）のGPA2.0以上が必要"
59,en,"Applicants intending to progress to Nursing, Midwifery, Physiotherapy or Occupational Therapy must submit an IELTS 6.5 (minimum 6.5 in all subskills).0"
59,ja,Nursing、Midwifery、PhysiotherapyまたはOccupational Therapyへの進学を希望する出願者はIELTS 6.5（各サブスキル6.5以上）の提出が必要。
60,en,Applicants intending to progress to Social Work must submit an IELTS 6.5 (minimum 6.5 in all subskills).
60,ja,Social Workへの進学を希望する出願者はIELTS 6.5（各サブスキル6.5以上）の提出が必要。
61,en,"Applicants intending to progress to Teaching - Early Childhood Education, Teaching - Primary Education or Teaching - Secondary Education must submit IELTS 6.5 (minimum 6.5 in all subskills)."
61,ja,Teaching - Early Childhood Education、Teaching - Primary EducationまたはTeaching - Secondary Educationへの進学を希望する出願者はIELTS 6.5（各サブスキル6.5以上）の提出が必要。
