id,language_iso639_code,translation
1,en,University of Western Australia
1,ja,西オーストラリア大学
2,en,"City St. George's, University of London"
2,ja,ロンドン大学シティ・セントジョージ
3,en,Manchester Metropolitan University
3,ja,マンチェスター メトロポリタン大学
4,en,Newcastle University
4,ja,ニューカッスル大学
5,en,Queen's University Belfast
5,ja,クィーンズ大学ベルファスト
6,en,University of Manchester
6,ja,マンチェスター大学
7,en,University of East Anglia
7,ja,イーストアングリア大学
8,en,University of Exeter
8,ja,エクセター大学
9,en,University of Stirling
9,ja,スターリング大学
10,en,Drew University
10,ja,ドゥルー大学
11,en,George Mason University
11,ja,ジョージメイソン大学
12,en,Hofstra University
12,ja,ホフストラ大学
13,en,Illinois State University
13,ja,イリノイ州立大学
14,en,Oregon State University
14,ja,オレゴン州立大学
15,en,Saint Louis University
15,ja,セントルイス大学
16,en,Suffolk University
16,ja,サフォーク大学
17,en,University of Alabama at Birmingham
17,ja,アラバマ大学バーミンハム校
18,en,Adelaide University
18,ja,アデレード大学
19,en,University of Birmingham
19,ja,バーミンガム大学
20,en,University of Bristol
20,ja,ブリストル大学
21,en,University of Glasgow
21,ja,グラスゴー大学
22,en,University of Liverpool
22,ja,リバプール大学
23,en,University of Nottingham
23,ja,ノッティンガム大学
24,en,University of York
24,ja,ヨーク大学
25,en,Arizona State University
25,ja,アリゾナ州立大学
26,en,University of Sydney
26,ja,シドニー大学
27,en,Simon Fraser University
27,ja,サイモンフレイザー大学
28,en,University of Manitoba
28,ja,マニトバ大学
29,en,University of Dundee
29,ja,ダンディー大学
30,en,San Francisco State University
30,ja,サンフランシスコ州立大学
31,en,Florida International University
31,ja,フロリダ国際大学
32,en,Gonzaga University
32,ja,ゴンザガ大学
33,en,University of Illinois Chicago
33,ja,イリノイ大学シカゴ校
34,en,University of South Carolina
34,ja,サウスカロライナ大学
35,en,University of Utah
35,ja,ユタ大学
36,en,University of Sheffield
36,ja,シェフィールド大学
37,en,University of Leeds
37,ja,リーズ大学
38,en,Cardiff University
38,ja,カーディフ大学
39,en,Durham University
39,ja,ダラム大学
40,en,University of Surrey
40,ja,サリー大学
41,en,University College Dublin
41,ja,ユニバーシティ・カレッジ・ダブリン
42,en,University of Auckland
42,ja,オークランド大学
43,en,Lancaster University
43,ja,ランカスター大学
44,en,The Hague University of Applied Sciences
44,ja,ハーグ応用科学大学
45,en,University of Twente
45,ja,トゥエンテ大学
46,en,INTI International University
46,ja,インティ国際大学
47,en,Mercy University
47,ja,マーシー大学
48,en,Columbia University and Drew University
48,ja,コロンビア大学＆ドゥルー大学ダブル学士課程プログラム
49,en,Washington University in St. Louis and Drew University
49,ja,セントルイス ワシントン大学＆ドゥルー大学ダブル学士課程プログラム
50,en,INTI International University and US Top 50
50,ja,インティ国際大学＆全米トップ50プログラム
51,en,Swinburne University of Technology and INTI International University
51,ja,スウィンバーン工科大学＆インティ国際大学ジョイントプログラム
52,en,Coventry University and INTI International University
52,ja,コベントリー大学＆インティ国際大学ジョイントプログラム
53,en,University of Hertfordshire and INTI International University
53,ja,ハートフォードシャー大学＆インティ国際大学ジョイントプログラム
54,en,Sheffield Hallam University and INTI International University
54,ja,シェフィールドハラム大学＆インティ国際大学ジョイントプログラム
55,en,Southern New Hampshire University and INTI International University
55,ja,サザンニューハンプシャー大学＆インティ国際大学ジョイントプログラム
56,en,Lancaster University - Leipzig
56,ja,ランカスター大学ライプツィヒ校
57,en,INTI International University and Australia Top 10
57,ja,インティ国際大学＆全豪トップ10プログラム
58,en,"The beautiful campus of the University of Western Australia (UWA) features historical buildings, modern architecture, and beautiful gardens, creating a unique and dynamic learning environment along with world-class educational and research infrastructure. Located by the Swan River, the UWA Perth campus is also close to popular spots such as Kings Park, Elizabeth Quay, and the Central Business District (CBD). UWA is ranked among the top 100 universities in the world (QS2023) for its global impact on research and education. This means students are connected to a passionate, intellectual, and experienced community of leaders driving innovation and transformation. In this way, students follow in the footsteps of thousands of alumni success stories through their connections and collaborations with leaders in education, research, and industry."
58,ja,西オーストラリア大学（UWA）の美しいキャンパスには、歴史的建造物や現代建築、美しい庭園があり、世界クラスの教育・研究インフラとともに、ユニークでダイナミックな学習環境が形成されています。スワン川のほとりに位置するUWAパースキャンパスは、キングスパーク、エリザベスキー、セントラルビジネスディスクリクト（CBD）といった人気のスポットにもほど近い距離にあります。UWAは研究・教育への世界的な影響力から、世界のトップ100大学（QS2023）にランクインしています。これは、学生にとって、革新と変革を推進する、熱心で知的且つ、経験豊富なリーダーのコミュニティとのつながりを意味します。このように学生は、教育、研究、産業界のリーダーとの結びつきや連携を通して、何千人もの卒業生のサクセスストーリーの後に続くことになります。
58,vi,"Khuôn viên đẹp của Đại học Tây Úc (UWA) có các tòa nhà lịch sử, kiến trúc hiện đại và những khu vườn đẹp, tạo nên một môi trường học tập độc đáo và năng động cùng với cơ sở hạ tầng giáo dục và nghiên cứu đẳng cấp thế giới. Nằm bên bờ sông Swan, khuôn viên UWA Perth cũng gần các địa điểm nổi tiếng như Kings Park, Elizabeth Quay và Khu Thương Mại Trung Tâm (CBD). UWA được xếp hạng trong số 100 trường đại học hàng đầu thế giới (QS2023) nhờ ảnh hưởng toàn cầu của mình trong nghiên cứu và giáo dục. Điều này có nghĩa là sinh viên được kết nối với một cộng đồng các nhà lãnh đạo nhiệt huyết, trí tuệ và giàu kinh nghiệm, thúc đẩy sự đổi mới và chuyển đổi. Theo cách này, sinh viên tiếp nối những câu chuyện thành công của hàng ngàn cựu sinh viên thông qua các kết nối và hợp tác với các nhà lãnh đạo trong giáo dục, nghiên cứu và công nghiệp."
59,en,"The main feature of City St George's, University of London is that more than two-thirds of the courses offered are accredited by professional bodies. The business school, in particular, is regarded as world-class. The university has strong ties with the business and professional sectors in London, and the average starting salary of its graduates ranks among the top 11 in UK universities. More than 23% of all students are international, providing a highly global environment for study."
59,ja,ロンドン大学シティ・セントジョージの主な特徴は、開講されているコースの3分の2以上が専門職団体に認可されていることにあります。特にビジネススクールは、世界一流レベルと評されています。ロンドンの実業界や専門職業界とも強いつながりを持っており、卒業生の平均初任給も、英国の大学トップ11にランクインされています。全生徒の23％以上が留学生であり、非常に国際的な環境で学ぶことができます。
59,vi,"Đặc điểm chính của City St George's, University of London là hơn hai phần ba các khóa học được cung cấp được công nhận bởi các tổ chức chuyên nghiệp. Trường kinh doanh đặc biệt được đánh giá là đẳng cấp thế giới. Trường có mối quan hệ chặt chẽ với các ngành kinh doanh và chuyên nghiệp ở London, và mức lương khởi điểm trung bình của sinh viên tốt nghiệp xếp hạng trong top 11 các trường đại học ở Vương quốc Anh. Hơn 40% tổng số sinh viên là sinh viên quốc tế, tạo ra một môi trường học tập rất toàn cầu."
60,en,"Manchester Metropolitan University is one of the largest universities in the UK. Students from various backgrounds and international students study here, creating a friendly and vibrant campus atmosphere. Manchester Metropolitan University offers a wide range of courses, from traditional ones like Mathematics, English, English Literature, and Law, to new ones like Retail Marketing, Industrial Design, Sports Science, and Communication Media, making it a university that blends the old and the new."
60,ja,マンチェスターメトロポリタン大学はイギリスで最大規模の大学です。様々なバックグラウンドを持つ学生や留学生が学び、キャンパスはフレンドリーな雰囲気に包まれ、いつも活気にあふれています。マンチェスターメトロポリタン大学は数学、英語、英文学、法学など伝統的なコースから、小売業マーケティング、産業デザイン、スポーツ科学、コミュニケーションメディアなどの新しいコースまで幅広く開講しており、新旧が融合した大学です。
60,vi,"Đại học Manchester Metropolitan là một trong những trường đại học lớn nhất ở Vương quốc Anh. Sinh viên từ các nền tảng khác nhau và sinh viên quốc tế học tập tại đây, tạo nên một bầu không khí khuôn viên thân thiện và sôi động. Đại học Manchester Metropolitan cung cấp nhiều khóa học, từ các khóa học truyền thống như Toán học, Tiếng Anh, Văn học Anh và Luật, đến các khóa học mới như Tiếp thị Bán lẻ, Thiết kế Công nghiệp, Khoa học Thể thao và Truyền thông, làm cho nó trở thành một trường đại học kết hợp giữa cái cũ và cái mới."
61,en,"With a tradition of academic excellence spanning over 175 years, Newcastle University boasts high-quality education that is highly regarded internationally, and a first-class faculty. The campus of Newcastle University is located in the heart of Newcastle, one of the most popular university cities in the UK. Newcastle University is also committed to Japanese language education, with students majoring in Japanese spending one year studying abroad at a university in Japan."
61,ja,175年以上遡る伝統のアカデミック・エクセレンス（優れた専門性）、国際的に評価が高い上質の教育、そして第一級の教授陣を誇ります。ニューカッスル大学のキャンパスは、イギリス国内において最も人気のある学園都市ニューカッスルの中心にあります。ニューカッスル大学は、日本語教育にも力を入れており、日本語専攻の学生は日本の大学に1年間交換留学をしています。
61,vi,"Với truyền thống xuất sắc trong học thuật kéo dài hơn 175 năm, Đại học Newcastle tự hào về nền giáo dục chất lượng cao được đánh giá cao trên toàn cầu, và đội ngũ giảng viên hàng đầu. Khuôn viên của Đại học Newcastle nằm ở trung tâm của Newcastle, một trong những thành phố đại học phổ biến nhất ở Vương quốc Anh. Đại học Newcastle cũng cam kết giáo dục ngôn ngữ Nhật Bản, với các sinh viên chuyên ngành Nhật Bản dành một năm du học tại một trường đại học ở Nhật Bản."
62,en,"The campus, located about 2km from the center of Belfast, the capital of Northern Ireland, is formed like a small town. The university dormitories are located in a residential area about a 10-minute walk from the school buildings. In addition to the main library, there are specialized libraries for natural sciences, medicine, agriculture, and food science, among others, providing ample research facilities. Notable alumni include Mary McAleese, the President of Ireland, and Seamus Heaney, a Nobel Prize laureate."
62,ja,北アイルランドの首都ベルファストの中心部から2kmほど離れた所にあるキャンパスは、キャンパス全体が小さな街のように形成されています。大学の寮は住宅街やシティ中心部などいずれも校舎から徒歩10～20分ほどの距離にあります。メインの図書館の他に自然科学、医学、農学、食品科学などの専門図書館を持つなど、研究施設が充実しています。卒業生には、アイルランド大統領のMary McAleeseやノーベル賞受賞者のSeamus Heaneyなどがいます。
62,vi,"Khuôn viên, nằm cách trung tâm Belfast, thủ đô của Bắc Ireland khoảng 2km, được hình thành như một thị trấn nhỏ. Ký túc xá của trường nằm trong một khu dân cư cách các tòa nhà của trường khoảng 10 phút đi bộ. Ngoài thư viện chính, còn có các thư viện chuyên ngành về khoa học tự nhiên, y học, nông nghiệp và khoa học thực phẩm, cung cấp các cơ sở nghiên cứu phong phú. Các cựu sinh viên nổi bật bao gồm Mary McAleese, Tổng thống Ireland, và Seamus Heaney, người đoạt giải Nobel."
63,en,"The University of Manchester has produced 25 Nobel Prize winners among its professors and graduates, highlighting its high standards of education and research that attract global attention. The University of Manchester comprises seven faculties: Arts, Business, Social Sciences and Law, Education, Medical and Dental Sciences, Nursing, and Science and Engineering, and Biology. At the graduate level, the university is divided into four departments: Arts, Social Sciences and Law, Education and Science, Engineering, and Medicine, each offering high-quality education."
63,ja,マンチェスター大学は、現在までに教授や卒業生から25名のノーベル賞受賞者を輩出するなど、その教育や研究水準の高さにおいて、世界から注目を集めています。マンチェスター大学には芸術、経営学、社会科学と法律、教育、医歯薬学及び看護学、理工学、生物学の7つの学部があり、大学院では、芸術、社会科学と法律、教育と科学、工学と医学の４つの部門に分かれ、それぞれにおいて質の高い教育を受けることができます。
63,vi,"Đại học Manchester đã có 25 người đoạt giải Nobel trong số các giáo sư và cựu sinh viên của mình, thể hiện tiêu chuẩn cao về giáo dục và nghiên cứu, thu hút sự chú ý toàn cầu. Đại học Manchester gồm bảy khoa: Nghệ thuật, Kinh doanh, Khoa học Xã hội và Luật, Giáo dục, Y khoa và Nha khoa, Điều dưỡng, và Khoa học và Kỹ thuật, và Sinh học. Ở cấp độ sau đại học, trường đại học được chia thành bốn khoa: Nghệ thuật, Khoa học Xã hội và Luật, Giáo dục và Khoa học, Kỹ thuật và Y học, mỗi khoa đều cung cấp giáo dục chất lượng cao."
64,en,"The University of East Anglia is located on a 320-acre campus consisting of expansive green spaces and a picturesque lake. It is close to the vibrant and historic city center of Norwich. Norfolk, where Norwich is located, is considered one of the safest regions in the UK, attracting many students each year. The university enjoys an international reputation for its high standards of research and education across a wide range of academic disciplines. Among Japanese international students, the major in International Development is particularly popular."
64,ja,イーストアングリア大学は、絵画のように美しい湖と広大な緑地に囲まれた、320エーカーのキャンパスを誇ります。歴史と活気あふれるノリッジの中心部にも近く、ノーフォーク州に位置するこの地域は、英国でも特に治安が良いエリアとして知られています。そのため、毎年多くの学生がこの地で学んでいます。また、幅広い学問分野において世界トップレベルの研究と教育を提供しており、国際的にも高い評価を得ています。特に日本人学生には、国際開発学が人気の専攻となっています。
