id,primary_university_id,code,slug,city_id,latitude,longitude,founding_year,students,international_students,url,is_active,tid_name,tid_description
1,,uwa,,10,-31.9786603557138000,115.8181150075850000,1911,27000,8000,https://www.uwa.edu.au/,TRUE,1,58
2,,cit,,11,51.5281520897931000,-0.1024731345539770,1894,20000,4600,https://www.citystgeorges.ac.uk/,TRUE,2,59
3,,mmu,,12,53.4705081273717000,-2.2393106343114600,1838,43000,3000,https://www.mmu.ac.uk/,FALSE,3,60
4,,ncl,,13,54.9793163694756000,-1.6146822629544500,1834,27300,6250,https://www.ncl.ac.uk/,TRUE,4,61
5,,qub,,14,54.5856899551830000,-5.9340483119581000,1845,25000,4000,https://www.qub.ac.uk/,TRUE,5,62
6,,uom,,12,53.4670030538100000,-2.2338944343119100,1824,44000,11000,https://www.manchester.ac.uk/,TRUE,6,63
7,,uea,,15,52.6222085874070000,1.2410837944174400,1963,17700,2250,https://www.uea.ac.uk/,TRUE,7,64
8,,exe,,16,50.7373066226397000,-3.5351153193084600,1955,29550,6900,https://www.exeter.ac.uk/,TRUE,8,65
9,,sts,,17,56.1462294390458000,-3.9177793628029900,1967,18500,5550,https://www.stir.ac.uk/,TRUE,9,66
10,,nyd,,18,40.7604672139589000,-74.4265852627605000,1867,2200,400,https://drew.edu/,TRUE,10,67
11,,gmu,,19,38.8331141019520000,-77.3118500058216000,1957,39750,4250,https://www.gmu.edu/,TRUE,11,68
12,,hof,,20,40.7170695395899000,-73.5990807222853000,1935,10700,650,https://www.hofstra.edu/,TRUE,12,69
13,,isu,,21,40.5123292612882000,-88.9947308204571000,1857,21550,600,https://illinoisstate.edu/,FALSE,13,70
14,,osu,,22,44.5620084205974000,-123.2822134623550000,1868,36650,4000,https://oregonstate.edu/,TRUE,14,71
15,,slu,,23,38.6379195532973000,-90.2337324480826000,1818,15200,3200,https://www.slu.edu/,TRUE,15,72
16,,suf,,24,42.3580806851457000,-71.0611358932785000,1906,6500,910,https://www.suffolk.edu/,TRUE,16,73
17,,uab,,25,33.5022290941434000,-86.8057709652988000,1936,21150,1300,https://www.uab.edu/,TRUE,17,74
18,,ade,,26,-34.9201253159319000,138.6061393887060000,1874,22700,8500,https://www.adelaide.edu.au/,TRUE,18,75
19,,bir,,27,52.4559106487703000,-1.9317488617707900,1900,38000,8700,https://www.birmingham.ac.uk/,TRUE,19,76
20,,bri,,28,51.4586512153829000,-2.6021865345625300,1909,30650,10750,https://www.bristol.ac.uk/,TRUE,20,77
21,,gla,,29,55.8725700354357000,-4.2899901763319100,1451,43000,6450,https://www.gla.ac.uk/,TRUE,21,78
22,,liv,,30,53.4049166896556000,-2.9653311919909800,1881,35000,8000,https://www.liverpool.ac.uk/,TRUE,22,79
23,,not,,31,52.9389732175615000,-1.1980735190360500,1881,36000,8650,https://www.nottingham.ac.uk/,TRUE,23,80
24,,yor,,32,53.9462541035944000,-1.0518147207579200,1963,20650,5800,https://www.york.ac.uk/,TRUE,24,81
25,,asu,,33,33.4266187520819000,-111.9276435228180000,1885,79600,12000,https://www.asu.edu/,TRUE,25,82
26,,syd,,34,-33.8882081348003000,151.1867647924060000,1850,68450,31450,https://www.sydney.edu.au/,TRUE,26,83
27,,sfu,,35,49.2932753100215000,-122.9215811444450000,1965,37050,8300,https://www.sfu.ca/,TRUE,27,84
28,,man,,36,49.8209918082919000,-97.1381255275046000,1877,31350,6700,https://umanitoba.ca/,TRUE,28,85
29,,dun,,37,56.4583928769470000,-2.9821428050909300,1881,17350,2100,https://www.dundee.ac.uk/,TRUE,29,86
30,,sfs,,38,37.7243188945131000,-122.4799190495690000,1899,22350,1000,https://www.sfsu.edu/,TRUE,30,87
31,,fiu,,39,25.7564687245657000,-80.3755937524079000,1965,56000,3800,https://www.fiu.edu/,TRUE,31,88
32,,gon,,40,47.6660137289415000,-117.4021153061810000,1887,7300,400,https://www.gonzaga.edu/,TRUE,32,89
33,,uic,,41,41.8690815978449000,-87.6485218421367000,1982,33500,4200,https://www.uic.edu/,TRUE,33,90
34,,usc,,42,33.9947429111816000,-81.0301779375550000,1801,56150,1600,https://sc.edu/,TRUE,34,91
35,,uta,,43,40.7651561719414000,-111.8420699204310000,1850,35250,3600,https://www.utah.edu/,TRUE,35,92
36,,she,,44,53.3814845636161000,-1.4883799901447300,1905,30250,9700,https://www.sheffield.ac.uk/,TRUE,36,93
37,,lds,,45,53.8068461950294000,-1.5550113477620600,1904,39800,14400,https://www.leeds.ac.uk/,TRUE,37,94
38,,car,,46,51.4869512756043000,-3.1788118066326100,1883,32700,6400,https://www.cardiff.ac.uk/,TRUE,38,95
39,,dur,,47,54.7651220480834000,-1.5782672783243700,1832,21600,4500,https://www.durham.ac.uk/,TRUE,39,96
40,,sur,,48,51.2433174985247000,-0.5894664057533960,1966,16300,4650,https://www.surrey.ac.uk/,TRUE,40,97
41,,ucd,,49,53.3098870309041000,-6.2216004343317700,1854,39500,16350,https://www.ucd.ie/,TRUE,41,98
42,,auk,,50,-36.8390153535945000,174.7689870741280000,1883,46050,9350,https://www.auckland.ac.nz/,TRUE,42,99
43,,lan,,51,54.0105202657186000,-2.7877079477361500,1964,16300,4200,https://www.lancaster.ac.uk/,TRUE,43,100
44,,hag,,52,52.0672197710310000,4.3239310790059200,1987,25000,4650,https://www.thuas.com/,TRUE,44,101
45,,twe,,53,52.2399755824765000,6.8497823912711800,1961,12150,4250,https://www.utwente.nl/en/,TRUE,45,102
46,,int,,54,2.8142071469046700,101.7582303620490000,1986,13000,5000,https://newinti.edu.my/,TRUE,46,103
47,,mer,,55,41.0346800577088000,-73.8738402359101000,1950,8800,250,https://www.mercy.edu/,TRUE,47,104
48,10,cud,,55,40.8076858503489000,-73.9626112833711000,1754,35900,13750,https://www.columbia.edu/,TRUE,48,105
49,10,wud,,23,38.6489988760322000,-90.3108177053929000,1853,16400,4500,https://wustl.edu/,TRUE,49,106
50,46,usi,,2,2.8142071469046700,101.7582303620490000,1986,13000,5000,https://newinti.edu.my/,TRUE,50,107
51,46,sui,,60,2.8142071469046700,101.7582303620490000,1908,13000,5000,https://www.swinburne.edu.au/,TRUE,51,108
52,46,cui,,57,2.8142071469046700,101.7582303620490000,1843,13000,5000,https://www.coventry.ac.uk/,TRUE,52,109
53,46,uhi,,58,2.8142071469046700,101.7582303620490000,1952,13000,5000,https://www.herts.ac.uk/,TRUE,53,110
